humano,ia,n,acuerdoA,acuerdoB,acuerdoC,acuerdoD,kappaD,d_discrepancias
DIEGO MEZA,IA base,80,0.75,0.675,0.625,0.35,0.15687069314957433,52
DIEGO MEZA,Codex/GPT,80,0.7125,0.6875,0.525,0.425,0.24248662000823387,46
DIEGO MEZA,Gemini 2.5 Flash,80,0.8,0.725,0.7,0.425,0.22526315789473683,46
DIEGO MEZA,Claude Haiku,80,0.725,0.65,0.6625,0.2875,0.07128309572301422,57
JulioVelotto,IA base,10,0.8,0.8,0.8,0.6,0.3939393939393939,4
JulioVelotto,Codex/GPT,10,0.7,0.7,0.8,0.5,0.2424242424242424,5
JulioVelotto,Gemini 2.5 Flash,10,0.8,0.9,0.7,0.5,0.16666666666666663,5
JulioVelotto,Claude Haiku,10,0.7,0.8,0.6,0.4,0.1044776119402986,6
